111222333444,11;7,257126,11.1758
111222334344,11;7,317125,14.5076
111222334434,11;10,287028,13.2767
111222334443,11;10,272518,12.6023
111222343344,11;7,314797,14.6021
111222343434,11;10,393041,18.0085
111222343443,11;8,338969,15.6892
111222344334,11;8,323759,15.0253
111222344343,11;9,358053,16.7103
111222344433,11;7,291411,13.6399
111222433344,11;10,291411,13.5793
111222433434,11;10,358053,16.6596
111222433443,11;8,323759,15.0401
111222434334,11;8,338969,15.7467
111222434343,11;10,393041,18.2681
111222434433,11;7,314797,14.6519
111222443334,11;8,272518,12.6378
111222443343,11;7,287028,13.315
111222443433,11;7,317125,14.7343
111222444333,11;7,257126,11.9569
111223233444,11;10,300915,13.9869
111223234344,11;7,381252,17.7276
111223234434,11;10,348682,16.1862
111223234443,11;10,337590,15.6746
111223243344,11;8,347522,16.1354
111223243434,11;10,403200,18.6572
111223243443,11;5,342580,15.8425
111223244334,11;8,325196,15.0294
111223244343,11;9,364802,16.9355
111223244433,11;7,309788,14.3699
111223323444,11;8,323941,15.0182
111223324344,11;9,359643,16.679
111223324434,11;10,325821,15.1038
111223324443,11;6,316167,14.6174
111223332444,11;7,282815,13.1452
111223334244,10;7,326787,15.1736
111223334424,10;8,292622,13.5759
111223334442,10;6,283348,13.1196
111223342344,10;8,371559,17.1971
111223342434,10;6,387958,17.961
111223342443,11;7,328510,15.1768
111223343244,10;8,370348,17.2123
111223343424,10;7,376700,17.4817
111223343442,10;7,326773,15.1645
111223344234,10;9,368784,17.0566
111223344243,10;7,355718,16.4502
111223344324,10;9,356790,16.5063
111223344342,10;7,346372,16.0232
111223344423,10;7,313591,14.5199
111223344432,11;7,309422,14.3284
111223423344,11;8,367258,17.03
111223423434,11;10,437014,20.1651
111223423443,11;7,386416,17.8959
111223424334,11;6,398338,18.4678
111223424343,11;10,439890,20.4156
111223424433,10;8,356739,16.5611
111223432344,11;8,409486,18.9946
111223432434,10;7,430395,19.9796
111223432443,11;10,384377,17.8121
111223433244,11;6,357863,16.6135
111223433424,11;10,378860,17.587
111223433442,11;10,337544,15.6099
111223434234,11;10,428637,19.8851
111223434243,10;7,437786,20.3187
111223434324,10;8,419861,19.5028
111223434342,10;7,425363,19.7535
111223434423,10;8,372594,17.3168
111223434432,10;8,369249,17.1383
111223442334,11;10,361865,16.7686
111223442343,10;7,401415,18.6275
111223442433,10;9,375929,17.4347
111223443234,10;7,409704,19.0058
111223443243,10;7,401893,18.6525
111223443324,10;8,344270,15.983
111223443342,10;7,346480,16.0752
111223443423,10;9,388646,18.043
111223443432,10;7,390245,18.1112
111223444233,11;8,338902,15.7545
111223444323,11;10,353866,16.4696
111223444332,11;10,318399,14.7424
111224233344,11;7,309788,14.3809
111224233434,11;10,364802,16.9346
111224233443,11;8,325196,15.0414
111224234334,11;5,342580,15.8645
111224234343,11;10,403200,18.6937
111224234433,11;8,347522,16.1317
111224243334,11;8,337590,15.6688
111224243343,11;7,348682,16.1941
111224243433,11;7,381252,17.7109
111224244333,11;10,300915,13.9689
111224323344,10;6,356739,16.571
111224323434,11;10,439890,20.4711
111224323443,11;6,398338,18.472
111224324334,11;7,386416,17.9204
111224324343,11;10,437014,20.2739
111224324433,11;7,367258,17.0399
111224332344,10;8,375929,17.4723
111224332434,10;7,401415,18.6859
111224332443,11;10,361865,16.8113
111224333244,11;8,338902,15.742
111224333424,11;10,353866,16.448
111224333442,11;10,318399,14.7574
111224334234,10;7,401893,18.7001
111224334243,10;7,409704,19.0076
111224334324,10;7,388646,18.0539
111224334342,10;6,390245,18.0926
111224334423,10;7,344270,15.9872
111224334432,10;6,346480,16.0631
111224342334,11;10,384377,17.8104
111224342343,10;7,430395,19.9516
111224342433,11;7,409486,18.9823
111224343234,10;6,437786,20.3336
111224343243,11;8,428637,19.8824
111224343324,10;6,372594,17.3054
111224343342,10;6,369249,17.133
111224343423,10;6,419861,19.4938
111224343432,10;6,425363,19.7479
111224344233,11;6,357863,16.6177
111224344323,11;10,378860,17.592
111224344332,11;10,337544,15.6009
111224423334,11;7,316167,14.6209
111224423343,11;10,325821,15.0811
111224423433,11;9,359643,16.6654
111224424333,11;8,323941,15.0195
111224432334,11;8,328510,15.1956
111224432343,10;8,387958,17.9833
111224432433,10;7,371559,17.2083
111224433234,10;7,355718,16.4859
111224433243,10;7,368784,17.0852
111224433324,10;8,313591,14.5597
111224433342,11;7,309422,14.3492
111224433423,10;7,356790,16.5251
111224433432,10;6,346372,16.0427
111224434233,10;7,370348,17.1596
111224434323,10;8,376700,17.4812
111224434332,10;8,326773,15.1072
111224442333,11;10,282815,13.1325
111224443233,10;7,326787,15.1652
111224443323,10;7,292622,13.5863
111224443332,10;9,283348,13.1388
111232233444,11;10,308688,14.3879
111232234344,11;10,383551,17.8832
111232234434,11;10,352592,16.4371
111232234443,11;9,342346,15.9449
111232243344,11;8,355123,16.5433
111232243434,10;9,421653,19.6287
111232243443,11;5,357787,16.64
111232244334,11;9,343116,15.917
111232244343,11;10,378827,17.6406
111232244433,11;8,310036,14.4512
111232323444,11;6,394590,18.3905
111232324344,10;6,426355,19.9105
111232324434,10;9,391214,18.2437
111232324443,11;8,386791,17.9711
111232332444,11;9,341000,15.9024
111232334244,10;7,389079,18.1383
111232334424,10;8,353709,16.4616
111232334442,11;7,345295,16.0408
111232342344,10;8,446414,20.754
111232342434,10;7,464357,21.5579
111232342443,10;9,402260,18.675
111232343244,10;8,450240,20.9836
111232343424,10;7,464592,21.6496
111232343442,10;7,407205,18.9418
111232344234,10;9,440097,20.4853
111232344243,10;7,425017,19.7764
111232344324,10;8,437666,20.3832
111232344342,10;6,426612,19.8617
111232344423,11;10,381699,17.7683
111232344432,11;6,384089,17.8944
111232423344,11;10,384769,17.9027
111232423434,10;9,466969,21.732
111232423443,11;7,412780,19.1951
111232424334,11;6,420185,19.5217
111232424343,10;6,464011,21.5985
111232424433,10;8,371070,17.3165
111232432344,10;6,442667,20.6258
111232432434,10;9,462219,21.5321
111232432443,11;7,410273,19.0894
111232433244,11;6,409229,19.082
111232433424,11;10,427343,19.8908
111232433442,11;8,376433,17.4716
111232434234,10;8,462245,21.5439
111232434243,10;7,468226,21.8068
111232434324,10;8,456790,21.2852
111232434342,10;5,456980,21.2801
111232434423,10;8,403852,18.8143
111232434432,10;8,397397,18.537
111232442334,11;8,380407,17.6951
111232442343,10;9,430352,20.0283
111232442433,10;9,393031,18.2949
111232443234,11;8,434863,20.233
111232443243,10;9,433512,20.1656
111232443324,11;9,377763,17.597
111232443342,11;7,374378,17.3864
111232443423,10;9,420048,19.548
111232443432,11;10,421860,19.6444
111232444233,11;6,356041,16.6226
111232444323,11;9,392307,18.2818
111232444332,11;8,352835,16.3826
111233223444,11;10,319091,14.891
111233224344,10;6,363023,16.9223
111233224434,11;10,331619,15.4634
111233224443,10;7,319361,14.8437
111233232444,11;4,349557,16.307
111233234244,10;9,388190,18.0936
111233234424,11;3,358097,16.6793
111233234442,11;6,356565,16.5887
111233242344,10;8,414227,19.2915
111233242434,10;7,431215,20.1009
111233242443,10;7,370764,17.24
111233243244,10;8,413190,19.2487
111233243424,10;7,433417,20.1945
111233243442,10;7,379409,17.6382
111233244234,10;7,399746,18.5966
111233244243,10;7,386602,17.9894
111233244324,10;8,402447,18.7233
111233244342,10;7,392736,18.2585
111233244423,11;5,346449,16.1536
111233244432,11;5,353708,16.4634
111233322444,11;7,284507,13.2728
111233324244,10;7,349627,16.3297
111233324424,10;9,319563,14.9236
111233324442,11;8,308296,14.3734
111233342244,10;9,327762,15.3005
111233342424,10;9,386998,18.0656
111233342442,10;7,330345,15.4018
111233344224,11;9,316551,14.717
111233344242,11;6,350930,16.3444
111233344422,11;10,283851,13.2467
111233422344,11;10,387074,18.0204
111233422434,11;9,404663,18.8484
111233422443,11;4,353054,16.4038
111233423244,11;6,417172,19.4248
111233423424,10;8,440373,20.5059
111233423442,11;6,396996,18.4409
111233424234,10;6,435257,20.256
111233424243,10;7,431993,20.1168
111233424324,11;8,439127,20.4708
111233424342,10;7,446076,20.7594
111233424423,10;8,376040,17.5308
111233424432,10;8,386243,17.9993
111233432244,11;7,362798,16.8921
111233432424,11;3,432835,20.1599
111233432442,11;3,380592,17.6919
111233434224,11;7,387133,17.9931
111233434242,11;9,429622,19.9984
111233434422,10;8,345257,16.0666
111233442234,11;10,360301,16.7563
111233442243,11;7,352797,16.4184
111233442324,10;7,406463,18.9102
111233442342,10;9,404777,18.8378
111233442423,10;6,393285,18.2949
111233442432,10;7,398478,18.5313
111233443224,11;8,357909,16.6245
111233443242,10;7,402242,18.7067
111233443422,10;8,369862,17.2036
111233444223,11;8,329274,15.2839
111233444232,11;10,367362,17.1179
111233444322,11;5,330923,15.4076
111234223344,11;7,372590,17.339
111234223434,11;6,463188,21.5669
111234223443,11;8,408710,19.0014
111234224334,11;7,400253,18.5982
111234224343,10;9,451736,21.0285
111234224433,11;6,361876,16.8265
111234232344,10;6,457929,21.3158
111234232434,10;6,477981,22.235
111234232443,11;7,430307,19.9916
111234233244,11;5,406658,18.9229
111234233424,10;7,438459,20.4289
111234233442,11;7,391643,18.1833
111234234234,10;8,468169,21.8166
111234234243,10;7,483684,22.5
111234234324,10;7,474210,22.0753
111234234342,10;6,481677,22.4107
111234234423,10;7,431291,20.1013
111234234432,11;3,429803,20.0161
111234242334,11;6,438497,20.3854
111234242343,10;7,481268,22.3964
111234242433,10;6,452210,21.0581
111234243234,10;9,494374,22.9904
111234243243,10;7,475328,22.1711
111234243324,11;10,435985,20.3148
111234243342,11;5,435206,20.2577
111234243423,10;8,480721,22.4141
111234243432,10;6,494695,23.0135
111234244233,11;9,396660,18.4807
111234244323,11;9,428135,19.9421
111234244332,11;10,392606,18.205
111234322344,11;7,414444,19.296
111234322434,10;8,443493,20.6666
111234322443,11;6,388018,18.0177
111234323244,10;8,449520,20.9458
111234323424,10;7,478786,22.2955
111234323442,11;6,435536,20.2703
111234324234,10;8,477752,22.2512
111234324243,10;7,477205,22.1855
111234324324,10;8,475742,22.1686
111234324342,10;7,486126,22.6274
111234324423,10;7,425659,19.8119
111234324432,11;3,438004,20.4025
111234332244,11;9,357658,16.6522
111234332424,10;7,435757,20.292
111234332442,11;6,383134,17.8223
111234334224,11;9,379586,17.6501
111234334242,10;9,431571,20.0801
111234334422,11;9,348592,16.2095
111234342234,11;10,439360,20.4506
111234342243,11;8,430737,20.044
111234342324,10;7,490108,22.8055
111234342342,10;6,476571,22.1975
111234342423,12;12,483222,22.4918
111234342432,10;9,483723,22.5296
111234343224,11;6,434130,20.2025
111234343242,10;7,476649,22.2173
111234343422,10;6,450571,20.9755
111234344223,11;8,385886,17.8951
111234344232,11;10,432414,20.1296
111234344322,11;6,398279,18.5494
111234422334,11;10,375872,17.4358
111234422343,10;9,420381,19.5612
111234422433,11;6,381621,17.7721
111234423234,10;9,460436,21.4374
111234423243,10;8,455886,21.2034
111234423324,11;10,403335,18.7891
111234423342,11;3,414854,19.3374
111234423423,10;8,454664,21.1491
111234423432,11;8,473897,22.0637
111234424233,10;8,415588,19.3313
111234424323,10;8,447175,20.7866
111234424332,11;10,410436,19.0462
111234432234,11;5,406483,18.9003
111234432243,10;9,412655,19.1933
111234432324,10;8,451041,21.0531
111234432342,10;9,454572,21.1431
111234432423,10;8,462041,21.5444
111234432432,10;8,452495,21.0722
111234433224,11;8,366745,16.9994
111234433242,10;7,412204,19.1752
111234433422,11;6,373702,17.3757
111234434223,11;5,401305,18.66
111234434232,10;8,442301,20.6186
111234434322,10;7,409810,19.0693
